MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
DODGE,RAM 3500 REG CAB L/BOX 2WD DRW,03,573,244,188,357,2657,132,288,50,88,140,101,115,173,193,58/42
DODGE,RAM 3500 REG CAB L/BOX 4WD DRW,03,573,244,188,357,2872,132,288,50,88,140,101,115,173,193,58/42
DODGE,RAM SRT-10 QUAD CAB S/BOX RWD,06,579,203,190,357,2472,140,304,49,94,131,108,114,173,172,56/44
DODGE,RAM SRT-10 REG CAB S/BOX RWD,06,528,203,189,306,2313,140,N/A,48,89,132,108,114,175,174,57/43
DODGE,SPRINTER 2500 CARGO VAN 144-IN WB STANDARD RO,08,591,202,245,367,2170,79,341,60,118,164,100,124,172,174,N/A
DODGE,SPRINTER 2500 CARGO VAN 170-IN WB EXTENDED HI,08,735,202,273,433,2447,79,485,60,118,164,100,201,172,174,N/A
DODGE,SPRINTER 2500 CARGO VAN 170-IN WB HIGH ROOF,08,694,202,273,433,2389,79,444,60,118,164,100,162,172,174,N/A
DODGE,SPRINTER 2500 PASSENGER VAN 144-IN WB STANDAR,08,591,202,245,367,2546,79,341,60,118,164,100,124,172,174,N/A
DODGE,SPRINTER 2500 PASSENGER VAN 170-IN WB HIGH RO,08,694,202,273,433,2760,79,444,60,118,164,100,162,172,174,N/A
DODGE,SPRINTER 3500 CAB CHASSIS 144-IN WB,08,609,201,243,367,2035,79,N/A,60,118,164,100,125,172,N/A,N/A
DODGE,SPRINTER 3500 CAB CHASSIS 170-IN WB,08,685,201,243,433,2073,79,N/A,60,118,164,100,135,172,N/A,N/A
DODGE,SPRINTER 3500 CARGO VAN 144-IN WB HIGH ROOF,08,591,202,273,367,2477,79,341,60,118,164,100,124,172,N/A,N/A
DODGE,SPRINTER 3500 CARGO VAN 170-IN WB EXTENDED HI,08,735,202,273,433,2712,79,485,60,118,164,100,201,172,N/A,N/A
DODGE,SPRINTER 3500 CARGO VAN 170-IN WB HIGH ROOF,08,694,202,273,433,2659,79,444,60,118,164,100,162,172,N/A,N/A
DODGE,VIPER SRT10 COUPE/ACR RWD,06,446,191,121,251,1564,168,39,29,70,109,91,106,157,155,49/51
DODGE,VIPER SRT10 ROADSTER 2DR CONV RWD,04,443,191,121,249,1560,166,86,26,69,119,88,106,157,155,48/52
FERRARI,599 GTB FIORANO 2DR COUPE RWD,07,467,196,133,275,1688,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FERRARI,612 SCAGLIETTI 2DR COUPE RWD,04,491,196,134,294,1840,162,56,83,27,112,87,110,167,163,N/A
FERRARI,F430 2DR COUPE RWD,06,451,192,121,260,1450,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FERRARI,F430 SCUDERIA 2DR COUPE RWD,06,451,192,121,260,1225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FERRARI,F430 SPIDER 2DR CONV RWD,06,451,192,123,260,1525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FORD,CROWN VICTORIA,03,538,199,144,290,1900,162,99,42,75,116,108,139,160,164,56/44
FORD,E-150 ECONOLINE VAN,08,550,202,209,351,2107,99,276,56,96,165,87,112,178,170,58/42
FORD,E-150 ECONOLINE WAGON,08,550,202,209,351,2322,99,276,53,96,165,87,112,178,170,55/45
FORD,E-250 ECONOLINE VAN,08,550,202,216,351,2268,99,276,55,95,166,87,112,178,169,56/44
FORD,E-250 ECONOLINE VAN EXTENDED,08,600,202,216,351,2328,99,326,55,95,166,87,162,178,169,53/47
FORD,E-350 SD ECONOLINE VAN,08,550,202,212,351,2419,99,276,55,95,166,87,112,178,169,N/A
FORD,E-350 SD ECONOLINE VAN EXTENDED,08,600,202,212,351,2484,99,326,55,95,166,87,162,178,169,N/A
FORD,E-350 SD ECONOLINE WAGON,08,550,202,212,351,2546,99,276,56,96,166,87,112,178,169,59/41
FORD,E-350 SD ECONOLINE WAGON EXTENDED,08,600,202,212,351,2683,99,326,55,95,166,87,162,178,169,54/46
FORD,EDGE 4DR SUV FWD SEL/LIMITED,06,475,190,168,282,1853,106,156,41,84,113,96,98,163,167,60/40
FORD,ESCAPE 4DR SUV AWD LIMITED,07,444,181,173,262,1609,115,168,38,82,89,86,95,156,153,59/41
FORD,ESCAPE 4DR SUV FWD XLS,07,444,181,173,262,1484,115,168,38,82,89,86,95,156,153,59/41
FORD,ESCAPE 4DR SUV FWD XLT,07,444,181,173,262,1540,115,168,38,82,89,86,95,156,153,59/41
FORD,ESCAPE HYBRID 4DR SUV FWD,07,444,181,173,262,1650,115,168,38,82,89,86,95,156,153,57/43
FORD,EXPEDITION 4WD SUV XLT/EDDIE BAUER/LIMITED/KI,07,525,200,196,302,2633,135,213,51,82,96,100,123,170,171,50/50
FORD,EXPEDITION MAX 4WD SUV EDDIE BAUER/LIMITED/KI,07,562,200,197,333,2792,135,252,51,82,96,100,129,170,171,50/50
FORD,EXPLORER 4DR SUV 4WD XLT/EDDIE BAUER/LIMITED,06,492,187,185,289,2100,132,186,47,76,109,94,108,154,157,52/47
FORD,EXPLORER SPORT TRAC P/U 4DR 4X2,06,534,187,183,331,2048,132,273,47,78,109,91,112,154,157,56/44
