Type,Aesthetic,Rank
Nominal,Position,1
Nominal,Color,2
Nominal,Alpha,3
Nominal,Shape,4
Nominal,Length,5
Nominal,Angle,6
Nominal,Size,7
Ordinal,Position,1
Ordinal,Alpha,2
Ordinal,Color,3
Ordinal,Length,4
Ordinal,Angle,5
Ordinal,Size,6
Ordinal,Shape,7
Interval,Position,1
Interval,Length,2
Interval,Angle,3
Interval,Size,4
Interval,Alpha,5
Interval,Color,6
Interval,Shape,7
