style,size,name,model_year, reg_years ,deaths_f25_65,total_deaths,death.rate,adj.death.rate,ci_l,ci_u
2WDLxSUV,Midsize,Lincoln MKX 2WD,2011," 118,254 ",1,6,51,49,4,94
4WDPU,Small,Total,2011," 978,986 ",3,23,23,22,12,32
4WDPU,Small,Toyota Tacoma Double cab long bed 4WD,2011," 123,290 ",0,0,0,0,0,30
4WDPU,Small,Nissan Frontier Crew cab short bed 4WD,2011," 192,115 ",0,4,21,16,0,31
4WDPU,Small,Toyota Tacoma Xtra 4WD,2011," 182,034 ",0,4,22,17,0,33
4WDPU,Small,Toyota Tacoma Double cab short bed 4WD,2011," 344,811 ",3,8,23,29,6,52
4WDPU,Large,Total,2011," 4,594,636 ",9,151,33,27,23,32
4WDPU,Large,Toyota Tundra Double cab short bed 4WD,2011," 309,785 ",0,7,23,17,4,30
4WDPU,Large,Toyota Tundra Crew Max 4WD,2011," 284,798 ",0,9,32,24,8,40
4WDPU,Large,Ford F-150 Crew cab 4WD,2011," 2,062,582 ",5,57,28,24,17,31
4WDPU,Large,Honda Ridgeline 4WD,2011," 145,910 ",0,5,34,26,3,49
4WDPU,Large,Chevrolet Silverado 1500 Extended cab 4WD,2014," 110,928 ",0,3,27,27,6,79
4WDPU,Large,Ford F-150 Supercab 4WD,2011," 680,506 ",0,25,37,28,17,39
4WDPU,Large,Chevrolet Silverado 1500 Crew cab 4WD,2014," 191,713 ",0,9,47,35,12,59
4WDPU,Large,Ram 1500 quad cab 4WD,2013," 168,944 ",1,7,41,39,6,72
4WDPU,Large,Ram 1500 crew cab short bed 4WD,2013," 223,776 ",2,13,58,55,21,90
4WDPU,Large,Nissan Titan Crew cab short bed 4WD,2011," 100,450 ",1,8,80,73,16,130
4WDPU,VLarge,Total,2011," 2,565,708 ",0,93,36,27,22,33
4WDPU,VLarge,Ford F350 Crew cab 4WD,2011," 407,086 ",0,7,17,13,3,23
