MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST,model_year
chevrolet,silverado 3500hd double cab l/box drw 2wd,14,622,244,197,402,2802,136,352,44,89,129,100,120,175,172,N/A,silverado 3500hd double cab l/box drw 2wd14
chevrolet,silverado 3500hd double cab l/box drw 4x4,14,622,244,197,402,2960,136,352,44,89,129,100,120,175,172,N/A,silverado 3500hd double cab l/box drw 4x414
chevrolet,silverado 3500hd double cab l/box srw 2wd,14,622,203,198,402,2619,136,352,44,89,129,100,120,175,172,N/A,silverado 3500hd double cab l/box srw 2wd14
chevrolet,silverado 3500hd double cab l/box srw 4x4,14,622,203,198,402,2763,136,352,44,89,129,100,120,175,172,N/A,silverado 3500hd double cab l/box srw 4x414
chevrolet,silverado 3500hd reg cab l/box drw 2wd,14,559,244,197,339,2802,136,283,44,89,129,100,120,175,172,N/A,silverado 3500hd reg cab l/box drw 2wd14
chevrolet,silverado 3500hd reg cab l/box drw 4x4,14,559,244,196,339,2960,136,283,44,89,129,100,120,175,172,N/A,silverado 3500hd reg cab l/box drw 4x414
chevrolet,silverado 3500hd reg cab l/box srw 2wd,14,559,203,196,339,2619,136,283,44,89,129,100,120,175,172,N/A,silverado 3500hd reg cab l/box srw 2wd14
chevrolet,silverado 3500hd reg cab l/box srw 4x4,14,559,203,198,339,2763,136,283,44,89,129,100,120,175,172,N/A,silverado 3500hd reg cab l/box srw 4x414
chevrolet,sonic 4dr sedan ls/lt/ltz/rs,11,440,174,152,253,1245,97,51,35,81,103,89,98,151,151,62/38,sonic 4dr sedan ls/lt/ltz/rs11
chevrolet,sonic 5dr hatchback ls/lt/ltz/rs,11,404,174,152,253,1230,97,121,35,82,103,89,62,151,151,62/38,sonic 5dr hatchback ls/lt/ltz/rs11
chevrolet,suburban 4dr suv awd,14,570,204,189,330,2620,138,261,43,103,122,103,137,173,173,51/49,suburban 4dr suv awd14
chevrolet,suburban 4dr suv rwd,14,570,204,189,330,2511,138,261,43,103,122,103,137,173,173,51/49,suburban 4dr suv rwd14
chevrolet,tahoe 4dr suv awd,14,518,204,189,295,2515,138,209,43,103,122,103,120,173,173,52/48,tahoe 4dr suv awd14
chevrolet,tahoe 4dr suv rwd,14,518,204,189,295,2408,138,209,43,103,122,103,120,173,173,52/48,tahoe 4dr suv rwd14
chevrolet,traverse ls/lt/ltz awd 4dr suv,13,517,199,178,302,2197,118,210,39,91,118,102,113,171,170,55/45,traverse ls/lt/ltz awd 4dr suv13
chevrolet,traverse ls/lt/ltz fwd 4dr suv,13,517,199,178,302,2107,118,210,39,91,118,102,113,171,170,55/45,traverse ls/lt/ltz fwd 4dr suv13
chevrolet,trax ls/lt/ltz fwd 4dr suv,13,426,178,167,256,1382,109,140,36,92,105,94,76,154,154,60/40,trax ls/lt/ltz fwd 4dr suv13
chevrolet,trax lt/ltz awd 4dr suv,13,426,178,167,256,1476,109,140,36,92,105,94,76,154,154,60/40,trax lt/ltz awd 4dr suv13
